Term,P(class1),P(class2),P(class3),P(class4)
.,0.0471,0.0417,0.0344,0.0352
0-1,0.0002,0.0001,0.0002,0.0002
0.000541,0.0002,0.0001,0.0002,0.0002
0.001,0.0001,0.0005,0.0002,0.0002
0.0125,0.0001,0.0003,0.0002,0.0002
0.028,0.0001,0.0003,0.0002,0.0002
0.04,0.0001,0.0003,0.0002,0.0002
0.043,0.0001,0.0003,0.0002,0.0002
0.05,0.0002,0.0001,0.0002,0.0002
0.0552,0.0002,0.0001,0.0002,0.0002
0.09,0.0001,0.0003,0.0002,0.0002
0.0934,0.0002,0.0001,0.0002,0.0002
0.10,0.0001,0.0003,0.0002,0.0002
0.1181,0.0001,0.0003,0.0002,0.0002
0.12%,0.0002,0.0001,0.0002,0.0002
0.22%,0.0002,0.0001,0.0002,0.0002
0.28%,0.0002,0.0001,0.0002,0.0002
0.3029,0.0002,0.0001,0.0002,0.0002
0.3595,0.0002,0.0001,0.0002,0.0002
0.41%,0.0002,0.0001,0.0002,0.0002
0.45%,0.0002,0.0001,0.0002,0.0002
0.5%,0.0001,0.0001,0.0002,0.0004
0.55%,0.0002,0.0001,0.0002,0.0002
0.7%,0.0001,0.0001,0.0002,0.0004
0.72,0.0001,0.0003,0.0002,0.0002
0.8,0.0002,0.0001,0.0002,0.0002
0.8%,0.0002,0.0001,0.0002,0.0002
0.82,0.0001,0.0003,0.0002,0.0002
0.8578,0.0001,0.0001,0.0003,0.0002
0.86,0.0001,0.0003,0.0003,0.0002
0.88,0.0001,0.0001,0.0002,0.0004
0.91,0.0001,0.0003,0.0003,0.0002
0.9184,0.0002,0.0001,0.0002,0.0002
0.94,0.0001,0.0003,0.0002,0.0002
0.9595,0.0001,0.0001,0.0003,0.0002
0.96,0.0001,0.0001,0.0002,0.0004
0.967,0.0001,0.0003,0.0002,0.0002
0.99,0.0001,0.0003,0.0002,0.0002
04,0.0002,0.0001,0.0002,0.0002
05,0.0002,0.0001,0.0002,0.0002
06,0.0002,0.0001,0.0002,0.0002
1,0.0002,0.0004,0.0002,0.0002
1.0%,0.0001,0.0001,0.0002,0.0004
1.1%,0.0001,0.0001,0.0002,0.0004
1.3%,0.0002,0.0001,0.0002,0.0002
1.38,0.0002,0.0001,0.0002,0.0002
1.38%,0.0002,0.0001,0.0002,0.0002
1.47%,0.0002,0.0001,0.0002,0.0002
1.5,0.0001,0.0003,0.0002,0.0002
1.53%,0.0002,0.0001,0.0002,0.0002
1.6%,0.0002,0.0001,0.0002,0.0002
1.62,0.0002,0.0001,0.0002,0.0002
1.68%,0.0002,0.0001,0.0002,0.0002
1.8%,0.0002,0.0001,0.0002,0.0002
1.9901,0.0002,0.0001,0.0002,0.0002
10,0.0005,0.0003,0.0012,0.0002
10%,0.0002,0.0001,0.0002,0.0002
100,0.0002,0.0001,0.0002,0.0002
100%,0.0003,0.0003,0.0003,0.0002
1000,0.0002,0.0001,0.0002,0.0002
10d,0.0003,0.0001,0.0002,0.0002
11,0.0002,0.0001,0.0003,0.0002
11.4%,0.0002,0.0001,0.0002,0.0002
114,0.0001,0.0003,0.0002,0.0002
1167.29,0.0002,0.0001,0.0002,0.0002
1181.38,0.0002,0.0001,0.0002,0.0002
12.9%,0.0002,0.0001,0.0002,0.0002
120,0.0001,0.0001,0.0002,0.0004
13,0.0002,0.0003,0.0002,0.0002
141,0.0005,0.0001,0.0002,0.0002
15%,0.0003,0.0001,0.0002,0.0002
15.28%,0.0001,0.0003,0.0002,0.0002
16,0.0001,0.0003,0.0002,0.0002
172,0.0001,0.0003,0.0002,0.0002
19,0.0003,0.0001,0.0002,0.0002
191,0.0001,0.0001,0.0002,0.0004
196.7001,0.0002,0.0001,0.0002,0.0002
1989,0.0001,0.0003,0.0002,0.0002
2,0.0004,0.0001,0.0003,0.0002
2.1%,0.0002,0.0001,0.0002,0.0002
2.26,0.0002,0.0001,0.0002,0.0002
2.3%,0.0003,0.0001,0.0002,0.0002
2.32%,0.0002,0.0001,0.0002,0.0002
2.48,0.0001,0.0003,0.0002,0.0002
2.9%,0.0001,0.0001,0.0002,0.0004
20,0.0002,0.0001,0.0002,0.0002
20%,0.0002,0.0001,0.0002,0.0002
20.1575%,0.0001,0.0003,0.0002,0.0002
2000,0.0001,0.0003,0.0002,0.0002
2016,0.0001,0.0003,0.0002,0.0002
2017,0.0002,0.0001,0.0002,0.0002
2018,0.0002,0.0001,0.0002,0.0002
2020,0.0001,0.0003,0.0002,0.0002
2022,0.0003,0.0001,0.0002,0.0002
2024,0.0001,0.0004,0.0002,0.0002
20d,0.0003,0.0001,0.0002,0.0002
21,0.0003,0.0001,0.0003,0.0002
21%,0.0001,0.0001,0.0003,0.0002
21st,0.0001,0.0004,0.0002,0.0002
23,0.0002,0.0001,0.0002,0.0002
23.5738,0.0001,0.0003,0.0002,0.0002
232,0.0001,0.0001,0.0002,0.0004
24,0.0002,0.0001,0.0002,0.0002
24%,0.0002,0.0001,0.0002,0.0002
25,0.0002,0.0001,0.0002,0.0002
25%,0.0002,0.0001,0.0002,0.0002
25mbps,0.0001,0.0003,0.0002,0.0002
26,0.0001,0.0003,0.0002,0.0002
26%,0.0002,0.0001,0.0002,0.0002
27.2%,0.0002,0.0001,0.0002,0.0002
28.09%,0.0001,0.0001,0.0003,0.0002
280,0.0002,0.0001,0.0002,0.0002
29,0.0002,0.0001,0.0002,0.0002
29%,0.0001,0.0003,0.0002,0.0002
2b,0.0002,0.0001,0.0002,0.0002
2d,0.0002,0.0003,0.0002,0.0002
3,0.0003,0.0001,0.0002,0.0002
3.48,0.0002,0.0001,0.0002,0.0002
3.52,0.0002,0.0001,0.0002,0.0002
3.64,0.0002,0.0001,0.0002,0.0002
3.9991,0.0001,0.0003,0.0002,0.0002
30,0.0005,0.0003,0.0002,0.0004
30%,0.0001,0.0001,0.0003,0.0002
3087.68,0.0002,0.0001,0.0002,0.0002
3100.59,0.0002,0.0001,0.0002,0.0002
33,0.0002,0.0001,0.0002,0.0002
34,0.0002,0.0001,0.0002,0.0002
35%,0.0003,0.0001,0.0002,0.0002
37,0.0003,0.0001,0.0002,0.0002
37%,0.0001,0.0001,0.0003,0.0002
37.55,0.0001,0.0001,0.0003,0.0002
376.8249,0.0002,0.0001,0.0002,0.0002
38,0.0001,0.0003,0.0002,0.0002
39%,0.0002,0.0001,0.0002,0.0002
3d,0.0002,0.0005,0.0002,0.0002
4,0.0001,0.0003,0.0002,0.0002
4%,0.0002,0.0001,0.0002,0.0002
4.19,0.0002,0.0001,0.0002,0.0002
4.44,0.0002,0.0001,0.0002,0.0002
4.66%,0.0002,0.0001,0.0002,0.0002
