Term,P(class1),P(class2),P(class3),P(class4)
.,0.0402,0.0334,0.026,0.0263
0-1,0.0002,0.0001,0.0001,0.0001
0.000541,0.0002,0.0001,0.0001,0.0001
0.001,0.0001,0.0004,0.0001,0.0001
0.0125,0.0001,0.0002,0.0001,0.0001
0.028,0.0001,0.0002,0.0001,0.0001
0.04,0.0001,0.0002,0.0001,0.0001
0.043,0.0001,0.0002,0.0001,0.0001
0.05,0.0002,0.0001,0.0001,0.0001
0.0552,0.0002,0.0001,0.0001,0.0001
0.09,0.0001,0.0002,0.0001,0.0001
0.0934,0.0002,0.0001,0.0001,0.0001
0.10,0.0001,0.0002,0.0001,0.0001
0.1181,0.0001,0.0002,0.0001,0.0001
0.12%,0.0002,0.0001,0.0001,0.0001
0.22%,0.0002,0.0001,0.0001,0.0001
0.28%,0.0002,0.0001,0.0001,0.0001
0.3029,0.0002,0.0001,0.0001,0.0001
0.3595,0.0002,0.0001,0.0001,0.0001
0.41%,0.0002,0.0001,0.0001,0.0001
0.45%,0.0002,0.0001,0.0001,0.0001
0.5%,0.0001,0.0001,0.0001,0.0003
0.55%,0.0002,0.0001,0.0001,0.0001
0.7%,0.0001,0.0001,0.0001,0.0003
0.72,0.0001,0.0002,0.0001,0.0001
0.8,0.0002,0.0001,0.0001,0.0001
0.8%,0.0002,0.0001,0.0001,0.0001
0.82,0.0001,0.0002,0.0001,0.0001
0.8578,0.0001,0.0001,0.0003,0.0001
0.86,0.0001,0.0002,0.0003,0.0001
0.88,0.0001,0.0001,0.0001,0.0003
0.91,0.0001,0.0002,0.0003,0.0001
0.9184,0.0002,0.0001,0.0001,0.0001
0.94,0.0001,0.0002,0.0001,0.0001
0.9595,0.0001,0.0001,0.0003,0.0001
0.96,0.0001,0.0001,0.0001,0.0003
0.967,0.0001,0.0002,0.0001,0.0001
0.99,0.0001,0.0002,0.0001,0.0001
04,0.0002,0.0001,0.0001,0.0001
05,0.0002,0.0001,0.0001,0.0001
06,0.0002,0.0001,0.0001,0.0001
1,0.0002,0.0003,0.0001,0.0001
1.0%,0.0001,0.0001,0.0001,0.0003
1.1%,0.0001,0.0001,0.0001,0.0003
1.3%,0.0002,0.0001,0.0001,0.0001
1.38,0.0002,0.0001,0.0001,0.0001
1.38%,0.0002,0.0001,0.0001,0.0001
1.47%,0.0002,0.0001,0.0001,0.0001
1.5,0.0001,0.0002,0.0001,0.0001
1.53%,0.0002,0.0001,0.0001,0.0001
1.6%,0.0002,0.0001,0.0001,0.0001
1.62,0.0002,0.0001,0.0001,0.0001
1.68%,0.0002,0.0001,0.0001,0.0001
1.8%,0.0002,0.0001,0.0001,0.0001
1.9901,0.0002,0.0001,0.0001,0.0001
10,0.0004,0.0002,0.0009,0.0001
10%,0.0002,0.0001,0.0001,0.0001
100,0.0002,0.0001,0.0001,0.0001
100%,0.0002,0.0002,0.0003,0.0001
1000,0.0002,0.0001,0.0001,0.0001
10D,0.0002,0.0001,0.0001,0.0001
11,0.0002,0.0001,0.0003,0.0001
11.4%,0.0002,0.0001,0.0001,0.0001
114,0.0001,0.0002,0.0001,0.0001
1167.29,0.0002,0.0001,0.0001,0.0001
1181.38,0.0002,0.0001,0.0001,0.0001
12.9%,0.0002,0.0001,0.0001,0.0001
120,0.0001,0.0001,0.0001,0.0003
13,0.0002,0.0002,0.0001,0.0001
141,0.0004,0.0001,0.0001,0.0001
15%,0.0002,0.0001,0.0001,0.0001
15.28%,0.0001,0.0002,0.0001,0.0001
16,0.0001,0.0002,0.0001,0.0001
172,0.0001,0.0002,0.0001,0.0001
19,0.0002,0.0001,0.0001,0.0001
191,0.0001,0.0001,0.0001,0.0003
196.7001,0.0002,0.0001,0.0001,0.0001
1989,0.0001,0.0002,0.0001,0.0001
2,0.0003,0.0001,0.0003,0.0001
2.1%,0.0002,0.0001,0.0001,0.0001
2.26,0.0002,0.0001,0.0001,0.0001
2.3%,0.0002,0.0001,0.0001,0.0001
2.32%,0.0002,0.0001,0.0001,0.0001
2.48,0.0001,0.0002,0.0001,0.0001
2.9%,0.0001,0.0001,0.0001,0.0003
20,0.0002,0.0001,0.0001,0.0001
20%,0.0002,0.0001,0.0001,0.0001
20.1575%,0.0001,0.0002,0.0001,0.0001
2000,0.0001,0.0002,0.0001,0.0001
2016,0.0001,0.0002,0.0001,0.0001
2017,0.0002,0.0001,0.0001,0.0001
2018,0.0002,0.0001,0.0001,0.0001
2020,0.0001,0.0002,0.0001,0.0001
2022,0.0002,0.0001,0.0001,0.0001
2024,0.0001,0.0003,0.0001,0.0001
20D,0.0002,0.0001,0.0001,0.0001
21,0.0002,0.0001,0.0003,0.0001
21%,0.0001,0.0001,0.0003,0.0001
21st,0.0001,0.0003,0.0001,0.0001
23,0.0002,0.0001,0.0001,0.0001
23.5738,0.0001,0.0002,0.0001,0.0001
232,0.0001,0.0001,0.0001,0.0003
24,0.0002,0.0001,0.0001,0.0001
24%,0.0002,0.0001,0.0001,0.0001
25,0.0002,0.0001,0.0001,0.0001
25%,0.0002,0.0001,0.0001,0.0001
25Mbps,0.0001,0.0002,0.0001,0.0001
26,0.0001,0.0002,0.0001,0.0001
26%,0.0002,0.0001,0.0001,0.0001
27.2%,0.0002,0.0001,0.0001,0.0001
28.09%,0.0001,0.0001,0.0003,0.0001
280,0.0002,0.0001,0.0001,0.0001
29,0.0002,0.0001,0.0001,0.0001
29%,0.0001,0.0002,0.0001,0.0001
2B,0.0002,0.0001,0.0001,0.0001
2D,0.0002,0.0002,0.0001,0.0001
3,0.0002,0.0001,0.0001,0.0001
3.48,0.0002,0.0001,0.0001,0.0001
3.52,0.0002,0.0001,0.0001,0.0001
3.64,0.0002,0.0001,0.0001,0.0001
3.9991,0.0001,0.0002,0.0001,0.0001
30,0.0005,0.0002,0.0001,0.0003
30%,0.0001,0.0001,0.0003,0.0001
3087.68,0.0002,0.0001,0.0001,0.0001
